Location,test_text
明池森林遊樂區,明池森林遊樂區座落在宜蘭縣大同鄉和桃園市復興區交界之處，又名「池端」，是一個高山人工湖泊。四周原始森林密佈，終年煙嵐繚繞，景色迷濛曼妙，有「北橫明珠」的美譽，更是一處森林浴的好場所。園區內以庭園山水的概念，設計出具有古代風格的建築景觀，另有明池苗圃、苔園、蕨園、森林步道、國父誕辰紀念林園等，且於山坡步道兩旁設有梯形株苗種育培養區，沿著斜坡步道而行，可眺望高山野地美景及細賞各式花卉的自然風貌。
鹿港老街,由於昔日的鹿港是以貿易為主，港口附近由於地利之便，便形成船行與商家的重要據點。瑤林街、埔頭街、大有街因臨近河道，於是成為船行與碼頭的集中區。 鹿港繁盛時碼頭區的主幹─舊街，即今之埔頭、瑤林、大有三條街道，曲折的紅磚巷道兩旁林立著重新整修過的舊式店屋，其奧妙的內部格局和舊式外觀耐人尋味，在此可找到若干老鹿港的風貌。 走進瑤林、埔頭二街的紅磚道，便令人油然而生一股古樸之意，宛如進入時空隧道。閩南風味的古老宅第，門楣上的各式避邪古物，以及兩旁的門聯，都訴說著舊時父老們的生活步調及型態。近年來由於觀光采風盛行，一些屋主便經營起民俗藝品店，使遊客在望風懷遠之餘，亦增添不少駐足之處。 街道特別彎曲，有時甚至成直角連串轉彎，所以會如此是先民智慧的展現與適應生活的艱辛，走在街上請仔細體會每一曲折所蘊含的歷史故事。經過長期歲月的沉澱，這裡氣氛由從前的熱鬧繁華轉為今日的淡泊悠閒。
華西街觀光夜市,華西街觀光夜市位於龍山寺附近，是我國第一座觀光夜市，以販賣各式山產海鮮野味小吃為大宗，是國內外觀光客最鐘愛的景點之一。夜市入口處為中國傳統牌樓建築，沿途掛滿紅色宮燈，極具特色，兩旁店家皆為老字號，口碑與品質兼顧，連高級餐廳也有據點，像是廣受日本觀光客青睞的臺南擔仔麵一店，就是在這裡發跡，其他小吃類，例如大鼎肉羹或是兩喜號魷魚羹等，更是座無虛席，夏天時清涼刨冰與新鮮果汁供不應求，冬令時節各類進補食品一一上市，更見萬頭攢動。
阿里山國家森林遊樂區,"相傳於250年以前，有一位名為阿巴里的鄒族酋長曾隻身來此打獵，滿載而歸後，常帶族人來此，族人為感念他，便以其名為此命名。其實阿里山共由十八座高山組成，屬於玉山山脈的支脈，隔同富溪與玉山主峰相望，現在新中橫公路已將阿里山與玉山風景區串連起來。阿里山森林遊樂區海拔高度2,216公尺，四周高山環列，氣候涼爽，以日出、雲海、晚霞、森林、登山森林鐵路並列為阿里山五奇，聞名國際。而鄒族原住民人文資源更增其觀光魅力。阿里山地區橫跨臺灣森林垂直分佈之熱、暖、溫三帶，蘊藏豐富的森林資源，尤以檜木名聞國際，漫步林間隨處可見。紅檜、臺灣扁柏、臺灣杉、鐵杉及華山松稱為阿里山五木，柳杉為本區人工造林最成功的外來樹種，沿森林鐵路漫山遍谷林木鬱成奇觀勝景。每年三月中旬至四月中旬為本區之櫻花季--吉野櫻、重瓣櫻、山櫻花點綴滿山，繽紛旖旎。其他花卉如森氏杜鵑、石楠花、毛地黃等等也陸續開放。另有列入保護之臺灣一葉蘭自然保留區，亦值得欣賞。塔山、姊妹潭高山湖泊等自然景觀，以及博物館與慈雲寺、老火車陳列場等珍貴的文化歷史資源，也都值得一遊。"
礁溪溫泉,礁溪鄉以溫泉聞名，位於宜蘭縣東北角，四百多年前這兒住著噶瑪蘭人和泰雅族人，到了清嘉慶元年（1796年），福建人吳沙帶領移民進入，並慢慢開墾此地，終於使礁溪逐漸成為宜蘭北部重鎮。礁溪的發展與溫泉是密不可分的，從早期人們築圍沐浴，到日治時代日本人設置公共澡堂和旅舍，開啟溫泉的商業用途，一直到近年來規劃為溫泉觀光特定區，並以溫泉從事各項農漁業的耕種養殖，因此，溫泉也是繁榮此地的重要經濟命脈。礁溪溫泉屬於碳酸氫鈉泉，富含鈉、鎂、鈣、鉀、碳酸離子等化學成份，是臺灣少見的平地溫泉。此泉色清無臭，湧到地表時約為58度C，洗後光滑柔細不黏膩，由於富含礦物質，因此不論是浸泡、沐浴或經處理後成為礦泉水飲用，都對身體健康極有幫助。到礁溪泡溫泉，已成為旅客到此一遊的重要行程。在礁溪火車站方圓1.2公里的範圍內，為本地的溫泉區，目前這兒約有近百家的旅館、飯店、浴池，形成「溫泉鄉」的特殊景致。
平溪,位於新北市之東北區，地處於基隆河之上游，全鄉皆為山，是有名的山城，以五分山、平溪三尖及孝子山群最為有名，高度不高，在五、六百公尺間。由於基隆河上游貫穿全鄉，在其侵蝕作用與附近切割地形的關係，造成許多的斷層與奇岩，當河水經過而形成許多大小瀑布群，如十分瀑布、嶺腳石窟瀑布、眼鏡洞等瀑布群及壺穴景觀，都是北臺灣難得一見的自然奇觀。且其境內山勢由於地球造山運動的推擠，而成為東西面平緩，另一面陡峭的「單面山」。「煤」曾是平溪區的特產，在其鼎盛時期，為全鄉賴以為生之依靠，近來雖已沒落停採，但「礦坑、老街、古宅」已成本地特色。如「十分老街」因位於廣闊的河階臺地，有平溪支線鐵路經過，故民宅皆緊鄰鐵道兩側而建。在老街外有座連接十分與南南山兩村的「靜安吊橋」，是目前少見保存良好的人行吊橋。而「石底街」上的房子更都是用由日本運來的杉木所建。另在「平溪老街」上仍保有部分依立著基隆河畔的傳統式長條街屋，狹窄擁擠的街道處處呈現著淳樸的山城風情。每年「元宵放天燈」不但是平溪區重要的活動之一，更是北臺灣最具民俗色彩的文化活動，其與臺南鹽水烽炮齊名為「南烽炮北天燈」。在您走訪平溪時，千萬不要忘記品嚐當地美食特產：肥美而不膩的土雞、清脆爽口的綠竹筍、山蘇炒小魚干、素炒秀珍菇，外帶平溪茶。相信走一趟平溪，不但是自然賞景之旅，亦是懷舊思古之旅，更是美食品茗之旅。
台北101,"關於台北101
TAIPEI 101座落於台北最菁華地段，是國內建築界有史以來最大的工程專案。該專案主要由國內十四家企業共同組成的台北金融大樓股份有限公司，與國內外專業團隊聯手規劃，並由國際級建築大師李祖原精心設計，超越單一量體的設計觀，以中國人的吉祥數字「八」（「發」的諧音），作為設計單元。每八層樓為一個結構單元，彼此接續、層層相疊，構築整體。在外觀上形成有節奏的律動美感，開創國際摩天大樓新風格。TAIPEI 101多節式外觀，以高科技巨型結構（Mega Structure）確保防災防風的顯著效益。每八層形成一組自主構成的空間，自然化解高層建築引起之氣流對地面造成的風場效應，透過建築設計綠化植栽區的區隔，確保行人的安全與舒適性。大樓造型宛若勁竹節節高昇、柔韌有餘，象徵生生不息的中國傳統建築意涵。內斜七度的建築面，層層往上遞增；無反射光害的高度透明省能隔熱帷幕玻璃，讓人們在台灣的最高建築內，觀天看地。高科技材質及創意照明，以透明、清晰、營造視覺穿透效果，與自然及週遭環境大尺度的融合。關於觀景台
標高382公尺的89樓觀景台，除擁有全方位絕佳的觀景視野外，並提供其他多項設施，包括：超高倍數望遠鏡、紀念照攝影服務、飲料吧、十一種語言之多媒體影音導覽器、紀念品販售服務、世界最高郵筒等；同時更可看到世界最大、最重、也是唯一外露供參觀的風阻尼器。金氏世界紀錄最快速恆壓電梯直上89樓觀景台
觀景台兩部專用最快速電梯以每分鐘1010公尺的速度，於5樓搭乘僅需37秒（B1搭乘僅需39秒）即可達89樓觀景台。關於購物中心 
台灣首座頂級國際購物中心 精品‧時尚‧美饌潮流中心
TAIPEI 101 MALL精選國際時尚與精緻美饌，貼心考量消費者的需求，以世界級空間設計規劃，完美凝聚質感、氛圍、與建築藝術，以有形空間開創無限意境，讓購物成為輕鬆舒適的享受TAIPEI 101 MALL將和紐約的「第五大道」、巴黎的「香榭麗舍大道」、羅馬的「西班牙大道」等高級精品區劃上等號，以旗艦大店與全新概念提供消費者最豐富完整的選擇。不論是高級精品、設計風尚、流行生活、還是風味美饌，TAIPEI 101呈現給消費者101%國際級的時尚美饌新選擇。"
龍騰斷橋,龍騰舊稱「魚藤坪」，相傳先民在開墾初時，鯉魚潭有鯉魚精危害地方，鄉民苦不堪言。為了克制鯉魚精作怪，遂在龍騰山區遍植魚藤，同時，又將東面的高山稱為關刀山，用意是藉關刀山斬魚藤，以毒殺鯉魚精，最後魚怪果然不再危害，居民從此安居樂業。至臺灣光復設村後，村民認為「魚藤」不雅而改名為龍騰。民國24年（西元1935年）4月21日清晨，臺灣中部大地震，震央即在關刀山附近，三義地區受災慘重，巍峨的山線鐵路龍溪橋完全震毀，震後在原橋西側另建新橋，遺下拱型橋柱，挺立在烈日風霜裡，供後人憑弔。搭火車經三義時，龍騰斷橋遺跡打眼前掠過，令人印象深刻。民國88年（西元1999年）9月21日再度遭受九二一大地震的無情摧殘，由北端算起第五橋墩半殘拱口二次被震斷，龍騰斷橋除了深具古樸之美外，也是經歷二次大地震的活見證。
臺北忠烈祠,忠烈祠位在圓山飯店旁，背倚青山，面臨基隆河。建於西元1969年，佔地廣大，主建築型式仿北京故宮太和殿，雄偉壯麗宏偉，象徵著烈士們成仁取義的大無畏精神。圍繞於忠烈祠四周的1萬餘坪的青草地，在群山的拱衛中，營造出一種清幽而肅穆的氣氛，更烘托出建築物的莊嚴。祠內供奉從中華民國成立前的革命烈士，歷年忠勇犧牲的烈士牌位，在大殿四面牆上，展示著英勇烈士的遺照及事蹟。每逢春秋兩季，均由國家元首率領文武百官前來致祭。訪華友邦元首及政要也都會來此獻花致敬。每年10月，忠烈祠更擠滿了海外歸國華僑的參觀團體。值得一提的是，忠烈祠大門前站崗的衛兵，個個酷似雕像，可見訓練之嚴謹！常令聚集觀看的遊客們稱奇讚賞，而每小時衛兵交接換哨儀式，更是蔚為特色，值得一看。
小琉球,位於屏東縣東港西南方的小琉球，是臺灣離島中唯一的珊瑚礁島，島上有名的天然奇景－「花瓶石」是觀光客必遊及攝影留念的地方，「落日亭」為全臺最佳欣賞落日景點之一，啟人遐思之古蹟「美人洞」，以及島上最具盛名的觀光勝地「烏鬼洞」景觀奇特，讓人嘆為觀止。此外有小琉球威尼斯沙灘美名的「蛤板灣」，還有可戲水、浮潛的中澳沙灘等等，大自然鬼斧神工創造了島上奇岩，讓遊客驚喜之餘，亦飽嚐一場天然藝術饗宴。小琉球的美，值得仔細品味！往小琉球水路航程約30分鐘，交通十分便利。在島上可搭乘環島公車或租賃摩托車、腳踏車沿著環島公路及一條橫貫全島的內陸公路遍遊觀光景點，全程約1~2小時。另外可到白沙碼頭搭乘小琉球海底觀光潛水船，一探神祕的海底世界，全程約30分鐘。
總統府,總統府座落在臺北市中正區重慶南路一段122號，正大門面對凱達格蘭大道，正面(東向)重慶南路，背面(西向)博愛路，北向為寶慶路，南向為貴陽街。日人統治臺灣時期，於西元1906年至1907年間(明治39年至40年) 決定興建總督府廳舍(即現今總統府)。第2次世界大戰末期，這棟建築曾遭到轟炸而嚴重毀損。臺灣光復後，在民國35年重建完成，當時為慶祝先總統　蔣公六秩華誕，改稱「介壽館」。中央政府遷台後，便以此館為總統府，延用至今。氣魄雄偉、巍峨高聳的總統府，在寬敞廣場的襯托下，尤顯尊貴氣派，此棟建築係日治時期「總督府」之所在，自1919年完工以來，便一直是全臺灣最高政權核心，這座後期文藝復興式樣的五層大廈，中央突起12層，塔身高60公尺，一峰巍然，為當時全臺最大的建築工程，若欣逢國家重大慶典節日，如新年、10月10日國慶日等，則總統府四周更是結綵華燈，輝燦極致。 
三峽老街,三峽老街一般指的是民權街的南段，長約二百公尺，其建築從民國初年（1911）留存至今。走在三峽老街，就好像進入時光隧道，相連不斷的紅磚拱廊、古色古香的建築，令人油然而生思古情懷，留連忘返。三峽老街以民權街、和平街、仁愛街和中山路保存最完整，而民權街是昔日繁華時代的老商業街，至今仍保留完整日治時代以來的商業街屋，許多物資、貨品都在街上交易買賣。於日治時代，市街經過改正，道路也做了一番整頓，成為一條整齊光鮮的現代化街道，新洋樓也競相興起，呈現出三峽的風光歲月。經過時間流逝，如今已經擺脫喧囂，只剩一幢幢的紅磚拱廊建築、巴洛克式立面牌樓，寂靜訴說著昔日商業區街屋的繁華。老街房子上的刻字代表姓氏、姓名、行業或店號，行業當中以刻有「染」字的染店為最多；而商家的店家匾額框大都刻著堂號、店號或姓氏，是以往商家在做生意時普遍使用的宣傳手法。山牆上的圖形裝飾尚有寓意，如花瓶象徵「平安」的意思，八卦是為了避邪。老街屋的正面以紅磚為主要材料，房子內的牆壁則是以土埆堆砌而成。由於老街上的商家在當年都是富有的人家，所以建築的形式和建材在當時都是一時之選，許多建材都是從外地進口，有些建造師甚至遠從英國請來。在房頂的突出部分，以及二樓的窗臺下方有各種的紋樣，多樣且寓意有趣。
棲蘭森林遊樂區,"位於北橫和北橫宜蘭支線（省道台7甲縣）交叉處的大同鄉土場村，距宜蘭市和羅東鎮約38公里，也是前往太平山和梨山必經之地。梯狀的苗圃以種植柳杉為主，區內有先總統-蔣公行館、花木觀賞區、櫻杏桃海步道、森林浴步道、14項有氧運動設施、小泰山森林遊樂場，而歐式建築造型的棲蘭山莊與林間小木屋，更提供了舒適的住宿設施，來此地更別忘了嚐嚐當地培育養殖的特產猴頭菇。 棲蘭神木園區
神木園區位於棲蘭林道12公里處，是目前宜蘭僅存的紅檜巨木區，區內多為千年以上的參天古木原始林，有51株紅檜、扁柏神木散布其間，而樹名分別依生長年代命名，如：孔子神木、唐太宗神木等，富趣味及教育意義。"
大鵬灣國家風景區-大鵬灣遊客中心,大鵬灣國家風景區包含大鵬灣及小琉球兩大風景特定區。大鵬灣北界為台17號及屏63號縣道，東以林邊鄉界接現有排水溝堤轉屏12之1及128縣道為界，西以東港現有都市計畫住宅區線連接東港鎮新溝為界，南為海岸高潮線起600公尺海域為界。小琉球風景區範圍為琉球嶼本島及海岸高潮線向外延伸600公尺為界。 大鵬灣是臺灣最大的內灣，區內海域之動植物資源豐富，本區特有的紅樹林－海茄苳及濱海植物如馬鞍藤、土沈香、苦林盤等；動物景觀以鳥類、魚類及軟甲類為主，出現的鳥種計有九十五種，包括候鳥、過境鳥等，魚類有石斑等，另外活動於溼地的招潮蟹尤具特色。 小琉球是臺灣附近14個屬島中唯一的珊瑚島，擁有豐富的海底生態資源。全島奇岩怪石林立，海洋景觀瑰麗。小琉球及大鵬灣大小廟宇近百間，許多廟宇分佈於鄰近之東港鎮、林邊鄉及南州鄉內，其中以東港鎮東隆里之東隆宮為年代最悠久的廟宇，其每三年一次的迎王平安祭，是國內最大型王爺信仰活動。這裡的海鮮全臺聞名，且物美價廉。東港三寶-黑鮪魚、櫻花蝦、油魚子是美食珍寶。小琉球除了香腸獨具特色之外（無斬無節），現今最流行的伴手禮就屬麻花捲了！
北關海潮公園,北關公園又稱蘭城公園，地處臺灣東北角沿岸，位於頭城鎮更新里，南端設有南關，遙相呼應，成為進出蘭陽的門戶，是一座景觀豐富的海濱公園。北關原為滿清時期的一座關卡，嘉慶年間清政府鑑於此地地形為防止盜匪進入宜蘭的最佳關隘，而奏請設立駐兵關卡。公園裡立有兩尊古砲，據說是清代嘉慶年間所鑄造的古物。公園內有經過千萬年沖刷而成的單面山、豆腐岩、小海岬等自然石岩景觀，石岩林立，堪稱東海岸特殊的景觀。在巨石與山勢對峙中，並設有階梯、步道和觀海涼亭，園中處處展現海濱特有奇景。由觀海臺上南望，可遠眺龜山島及蘭陽平原，近看則驚濤拍岸，氣象萬千，蘭陽八景中的「北關海潮」即指此地。觀海亭可清楚眺望龜山島、外澳等海上景致，以及北關一帶全景。站在觀海亭上，遠眺龜嶼佳景，近觀驚濤拍岸，氣象萬千、景色壯麗，尤其在漲潮或日出時，更是走訪北關的最佳時刻，巨石嶙峋峨立海岸，海濤洶湧，驚濤裂岸，一波波浪濤湧進石腹之中，潮聲迴盪，不絕於耳。
鶯歌,鶯歌是全方位的陶瓷專業區，擁有各式各樣的陶瓷，其種類豐富齊備，凸顯出鶯歌「陶瓷之都」的獨特風貌。初聞鶯歌地名，引人有「黃鶯出谷之歌喉」的美妙聯想，這個位於新北市最南端的行政區，區名來源十分傳奇，起因於其北面山坡直立了一塊形似收翼鸚哥鳥的巨石，相傳明末清初三峽鶯歌地區各為一隻鸚哥與鳶鳥所盤據對峙，吐霧吃人，直到鄭成功砲轟大鳥，兩鳥頸斷身亡，化為巨石，才雲開霧散，自此鶯歌石與三峽的鳶山便遙遙相望， 所以當您來到鶯歌饒富鄉土風情的火車站，不妨向北眺望，想像那隻鸚哥鳥正稍事停歇，準備隨時再展翅高飛呢！鶯歌以「陶瓷」著稱，有「臺灣景德鎮」美譽，各類陶瓷製品齊聚，遠在1805年，鶯歌的土壤就被發現適合捏製陶瓷，當地又出產煤礦，適以發展燒窯，加上擁有水利之便及鐵路運輸，於是開創了鶯歌陶瓷奇蹟，最興盛時期廠家幾達上千家，林立的煙囪使它變成「黑鄉」，近年普遍改用瓦斯窯後，情形才改善；不過由文化路上遺留的兩棟早期豪宅「成發居」與「汪洋居」，仍能讓人想見當年的繁華；位於建國路、後火車站三號月臺正對面的「謙記商行」建於民國10年左右，是鶯歌煤礦盛產時期的煤礦公司，惜遭祝融肆虐，已顯殘破，其精緻雕工與巴洛克風格的外貌只能留待後人追憶了。多年的努力與推展，鶯歌人「點土成金」的成就贏得國內外的肯定，並確立其陶瓷業領航者的地位；為了永續發展陶瓷藝術，不但積極參與國際陶瓷博覽會、舉辦陶瓷嘉年華活動，並往下紮根、成立技藝學校，「鶯歌高職」便是全國第一座結合地方物產資源特色的學校，於民國86年開始招生，強調師徒制的學習精神，透過系統化的教學，有計畫的將陶瓷製作手藝傳承給下一代，為傳統技藝注入新活力。鶯歌有八百家以上陶瓷工廠，陶瓷藝品店更是不計其數，主要集中在鶯歌陶瓷老街及鶯歌陶瓷觀光街。尖山埔路是鶯歌陶瓷的發源地，與重慶街交叉口至今仍保留了一座燒煤時代的方形煙囪「地標」，而包含尖山埔路老街及從樹林往鶯歌方向的中正一路、中山路、三鶯路以及自北二高下鶯歌交流道過三鶯大橋的文化路一段的陶瓷觀光街商家林立，無論是看「門道」或看「熱鬧」，走趟鶯歌，收穫良多。
東埔溫泉,東埔是一處以溫泉與山巒美景而著名的布農族部落，位於陳有蘭溪畔、八通關古道起點。溫泉水屬於弱鹼性碳酸泉，酸鹼值7.7，溫度約53度，水質清澈，泉水自溪谷湧出，從岩縫、砂石層自然湧現，呈現出熱氣沸騰的景觀，泉水再引流至旅館、飯店，提供遊客溫泉享受。
野柳海洋世界,位在野柳村的海洋世界，是國內第一座海洋動物表演館，在這兒您將欣賞到各種海洋生物的生態與習性，有生動活潑的海豚、海獅等動物表演，賞心悅目的高空跳水，有約百公尺長的『海底隧道』可欣賞各種珍奇魚類。在這一個兼具知識與娛樂的休閒空間，您將感受到海洋世界的神奇與奧妙，讓您有充滿驚奇與歡笑的體驗。
士林官邸,士林官邸坐落於士林區中山北路5段與福林路口東南側。原來是園藝管理所（前身為士林園藝實驗分所）的一部份，在國民政府遷台後，1950年時，先總統蔣中正先生的官邸便設於此，從此士林官邸便成為臺北市民眼中神聖神秘且不可親近的禁地。在經過46年的嚴密護衛，民主的潮流使士林官邸在1996年正式開放，成為遊客們在假日時的另一去處。官邸由外而內分為外花園、內花園、正房；外花園中有溫室盆栽區（栽培蘭花為主），而旁邊的玫瑰園區（栽培玫瑰為主）也是花團錦簇，玫瑰園盛開的時期是在3月到5月，是蔣夫人最愛的玫瑰花園。官邸內處處鳥語花香，景觀清幽雅靜。凱歌堂在過去蔣總統及夫人作禮拜的地方，蔣家後代均是在此完成婚禮及受洗。堂內陳設其實相當簡單，中式太師椅及水晶吊燈，仍可見一處莊嚴肅穆的禮拜聖堂。新蘭亭是一處中國式的四角亭，上有于右任親筆題之「新蘭亭」三字。此亭建於民國39年，是每年為蔣總統作壽設堂之地點，故又名「壽亭」。慈雲亭為二層樓式的方形涼亭，可眺望士林，陽明山一帶的景色。
石門水庫,石門水庫位於大漢溪中游，座落於桃園市大溪區與龍潭區、復興區、新竹縣關西鎮之間，由於溪口處有雙峰對峙狀若石門，因而得名。石門水庫風景區各項觀光資源，有依山閣資料館、環翠樓、溪洲、坪林、槭林、蝶苑、茄苳林等，並整修完成環湖步道，而本區因擁有完整的林相，自然生態相當完整，因此鳥類甚多，以低海拔鳥種為主，秋冬季鳥況最佳。
杉林溪森林生態渡假園區,"距溪頭17公里，佔地40公頃的杉林溪森林生態渡假園區位於溪頭往阿里山健行熱線之中途站，海拔1,600公尺，一年四季花期不斷；春櫻吐蕊、夏石楠花開、秋蘭飄香、冬楓相映。自溪頭孟宗山莊後的溪杉觀光道路進入，著名景點依序為石井磯、青龍瀑布、聚英村、花卉中心、松瀧岩與天地眼，其中後兩處一般車輛不准進入，須步行或搭專車。過了溪杉公路上收費站即可見到「石井磯」指示牌，沿竹林小徑至杉林溪流旁，可見因長期受溪流侵蝕而形成一窪窪如水井般石洞的「石井磯」景觀；而「石井磯」下游地勢成直角下降，瀑水傾瀉形成「青龍瀑布」。聚英村為此區本部，提供套房、小木屋、露營區等食宿服務，停車場旁的花卉中心植有滿天星、繡球花與牡丹花。溪杉公路的盡頭即為「松瀧岩」，亦稱烏松瀑布，瀑布兩旁各有一石洞，名為水濂洞。左洞深約8公尺、高約20公尺、長約30公尺，右洞則比左洞大一倍。靜坐洞內觀瀑，饒富趣味。至於「天地眼」則為本區最後一個景點，因山壁上凹陷的兩個大洞宛如一雙眼而得名。杉林溪的中藥植物園由輔仁大學景觀設計系主任規劃，利用兩山谷間狹長腹地1.5公頃的面積，並依易經太極兩儀、四象八卦學說豎立地標、太極圖像、過水橋、八卦亭等景觀。園區內，最重要的主體還是上百種藥草，從最近頗知名的珍珠草、假人參、日本木瓜到常見的牛蒡應有盡有，同時分為十二生肖區、健康茶區、野生食物區、專業藥用區等。其中十二生肖區巧妙將生肖與藥草結合，更是一絕。來到杉林溪遊樂區，千萬別錯過了這處植物寶庫。由於杉林溪前後歷經民國88年（西元1999年）九二一地震及民國90年（西元2001年）桃芝颱風的接連重創，浴火重生後，特別在青龍瀑布前斥資百萬新建一座「九九吊橋」，紀念從民國88年（西元1999年）的百年大震後重建，也代表另一全新的開始。"
淡水漁人碼頭,「淡水漁人碼頭」是新北市府近期開發成多功能的休閒漁港，擁有美輪美奐的浮動碼頭及寬廣的港區公園，另外並有跨越港區專供行人觀景的船形景觀大橋。於碼頭上還設有330多公尺的木棧道，倚靠圍欄迎風欣賞著淡水河口的景致，是一種悠閒的享受，傍晚時分的漁人碼頭更是欣賞夕照的最佳去處之一。
壽山國家自然公園,壽山位於高雄市西南區，為南北走向之珊瑚礁質丘陵地，舊稱麒麟山、埋金山、打狗山或打鼓山，是高雄市的天然地標。壽山是高雄市市內一座容易親近又具豐富自然資源的聖山。為早期平埔族打狗社區原住地。山上林木繁盛，有壽山公園、忠烈祠、動物園、千光寺、法興寺、元亨寺等觀光點，沿著壽山動物園旁的小徑可至壽山風景區的石灰岩洞區，循著曲折狹小的石灰岩洞穴前進，可見石筍、石柱等鐘乳石結晶，見證大自然造物的神奇與奧妙。壽山公園，其間草木青翠，環山道路四通八達，從山頂可遠眺高雄港埠、欣賞西子灣落日及高雄市的夜景。這裡還有「臺灣獼猴自然生態保護區」，獼猴成群在林木間穿梭遊戲，運氣好的話還可欣賞到猴群跳躍的矯捷英姿。除了可愛的獼猴外，壽山動物園還有大型哺乳動物、爬蟲類、鳥類等各類珍禽異獸，而壽山動物園內還有一面我國目前最大的馬賽克壁畫。壽山公園旁的忠烈祠，中國宮殿式建築，供奉國民革命烈士神位，兩旁綠林濃蔭，祠前遍植古松，並有兩門清領時期大砲供人憑弔，其位置居高臨下，視野遼闊，也是遠眺高雄港及市區的絕佳地點之一。
北海岸及觀音山國家風景區-白沙灣遊客中心,交通部觀光局規劃成立的第11個國家風景區—北海岸及觀音山國家風景區，於中華民國91年7月22日正式將北海岸、觀音山、野柳等3個風景特定區，統籌規劃管理區內之觀光資源。另外基隆市外木山、情人湖與和平島等景點，因同為臺灣北部濱海重要觀光景點，已於103年12月15日公告納入北觀國家風景區。濱海公路淡水至萬里段沿途山青水秀、天藍海深，環繞著廣闊的海天視野乃是這裡獨有的特色；而無論是來白沙灣弄潮戲水，或到金山品嚐馳名遐邇的鴨肉，觀賞銜接海天的夕陽，浸溶在夏夜沁涼南風中，別有一番不同的意境；冬暮寒風雖刺骨，您可以沐浴在暖入心脾的滑潤溫泉中，一定讓您忘卻疲勞，將煩憂的事都拋到九霄雲外；馳名國際的野柳，乃地質學上的瑰寶、皇冠海岸上的大珍珠，那令人歎為觀止的女王頭，維妙維肖的仙女鞋、變幻瑰麗的風化紋、還是差異侵蝕造成的單面山，處處都是值得您細細去玩味，深入去瞭解造化萬千的世界奇觀；觀音山俊秀奇麗的山形，那嶺間古剎伽藍處處，神情自若漫步其間，仿如有一種出世悠然，充塞胸臆清靜的感覺，登上硬漢嶺遠眺，祇見蜿蜒的淡水河川流不息，晝夜不捨地匯入大海，和其所沖積出來的繁華盆地—臺北，都一起盡收眼底。碧海藍天北濱行，青山古剎觀山遊，然而北濱絕非只是一片碧海藍天，觀音山也不僅是青山古剎而已，在這裡，奇麗的自然景觀和精采的人文風華皆可隨處俯拾；來參觀富貴角燈塔的同時，不妨也注意一下富貴角最北端那一片北臺灣最大的風稜石區；來金山慈護宮瞻仰金面媽祖時，您可曾留心過廟門口的門神又有何特色？您可知道十八王公為什麼晚上比白天還熱鬧？而茭白筍為什麼叫美人腿？山藥對健康又有什麼幫助？來北海岸走走您就可以得到答案；此外風景區內每一條小徑，每一個小海灣都可能帶給您意想不到的驚豔和回憶，您可以想像在傍著無垠碧海的台二線公路旁，一個轉彎就能領您進入一個被野溪、梯田和綠樹圍繞的山間小村嗎？您可曾在匆匆的旅途中，停下你的腳步，俯下身來好好觀賞路邊的野花，海濱的防風林，乃至金黃沙灘旁的一條潺潺小溪？到北海岸來親身體驗、來舒壓，讓您的情緒得以放鬆，讓您的思域更敏銳，讓您的處事更加果斷，相信這片山與海的結合，一定會讓您感到心曠神怡，這裡的居民和我們將給您最熱情的擁抱！
西門町商圈,西門町的地名來自日治時代，當時的居民大多居住於臺北城內，而西門區域就是他們的休憩場所，1896年，這裡有了第一家戲院「東京亭」，1922年時，正式以「西門町」為名。西門町早期以電影院為最主要的商業活動，當時的電影院大多環繞於峨嵋街、成都路與西寧南路上，故也是西門町發展的中心，民國38年國民政府遷台後，大量資金湧入此處，除了電影院外，百貨業及其他娛樂場所相繼出現，中華商場完工之後，西門町儼然已成全國最大的商業娛樂中心。民國80年代，臺北的商業娛樂活動逐漸轉移東區，再加上中華商場的拆除與道路整頓，西門町著實沉寂了好一陣子；一直到捷運板南線完工，中華路在臺北市政府的規劃之下，搖身一變成為臺北的香榭大道，不僅如此，大小廣場與活動空間如雨後春筍般地成長，每到週末假日，人群聚集在此從事文藝或運動、音樂表演等的活動，再度把商機與人潮又拉回了西區。現今的西門町不但見證了歷史，還是新一代流行文化的帶領者，許多懷舊的中老年人在此回味往事，更有打扮新潮的年輕一代在這裡爭奇鬥豔，兩種完全不同的生活型態在此交流，滿足了不同需要的族群。
